,EventTemplate,Count
9a00da049e0129d07da70c00a5f47eb4,"RTC: Maintenance 2017/<*>:<*>, sleep 2017/<*>",2
c5de595060c88e265a0ed8c10d79be1d,RTC: PowerByCalendarDate setting ignored,11
1c4410e32479f0e2a671caa7006e4fa7,Location icon should now be in state 'Active',17
2de1a33bffa904a4485a5e988c0be567,en0: <*> country code set to '<*>'.,3
39438e71be7436cc75eb5b4bc6076aa3,"ARPT: <*>: wl0: setup_keepalive: Seq: <*>, Ack: <*>, Win size: <*>",8
e4f92395a2e4f54c59e694dede45d128,QQ(<*>) deny mach-lookup <*>.<*>u<*>,6
ede737c16119f30f0bcfb7a13e6df1a4,"RTC: Maintenance 2017/<*>, sleep 2017/<*>",3
43658a65c3d7b29c887f8f48e034baa1,[HID] [MT] AppleMultitouchDevice::willTerminate entered,3
aaf79c0ceb22f7c547f0e18c35ecf3cd,[BluetoothHIDDeviceController] EventServiceDisconnectedCallback,1
a4cddf099b7e2d1318ae27dd9102d376,PMStats: Hibernate read took <*> ms,1
0b9d7a68a6a7809a513657f12bf53e29,dnssd_clientstub ConnectToServer: connect() failed path<*> Socket:<*> Err:-<*> Errno:<*> Operation not permitted,13
3bc042ceb9fd4afca3eb841d89043a73,"pages <*>, wire <*>, act <*>, inact <*>, cleaned <*> spec <*>, zf <*>, throt <*>, <*>, xpmapped <*>",4
66f6f9d639fb03a4fa4be3d967b97cc9,"VDCAssistant: Found a camera (<*>) , but was not able to start it up (<*> (<*>) <*>)",1
051c434db9e99cbdef8a51e649079ca6,handle_will_sleep_auth_and_shield_windows: Reordering authw <*>(<*>) (lock state: <*>),1
c69500951d2c201a4eabf00bd819250e,"<*>-<*>-<*>SoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp(KeystoneThread) runKeystonesInThreadWithArg:] Checking with local engine: <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=""/Users/<*>SoftwareUpdate<*>TicketStore<*>Key<*>ticketstore"" lockFile=<KSLockFile:<*> path=""/Users/<*>SoftwareUpdate<*>TicketStore<*>Key<*>ticketstore<*>"" locked=NO > >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*>> isProcessing=NO actionsCompleted=<*> progress=<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( <*> > delegate=(<*>) serverInfoStore=<KSServerPrivateInfoStore:<*> path=""/Users<*>Software<*>""> errors=<*> >",1
b7844740749c09b6d1987fdff42d534b,-[ISGenerateImageOp generateImageWithCompletion:] Failed to composit image for descriptor <ISBindingImageDescriptor: <*>,20
f38c91bc70ab2a204b53ba63e232e983,Error returned from iconservicesagent: (<*>),13
2fc9eb83fc780eb201c5235dc324de1f,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_<*>,6
995e8ab2e28acacaaf671fd2c746b7a4,"SecOSStatusWith error:[-<*>] Error Domain=NSOSStatusErrorDomain Code=-<*> ""query missing class name"" (paramErr: error in user parameter list) UserInfo={NSDescription=query missing class name}",5
3d5499b2a976a0e6eae8d31a714ef728,send_datagram_available_ping: pid <*> failed to act on a ping it dequeued before timing out.,26
118b2bf7d6dbda508bb7a38d8c98ce99,WARNING: Type1 font data isn't in the correct format required by the Adobe Type 1 Font Format specification.,1
64768b77bf0b4a69c5c8d5dcaa84503f,"com.apple.<*>ata<*>: scheduler_evaluate_activity told me to run this job; however, but the start time isn't for <*> seconds. Ignoring.",1
487f00c140dabbf82b5c474cf6a94b37,"device_generate_desktop_screenshot: authw <*>(<*>), shield <*>(<*>)",3
fbcdcd545f150977685cc0f8b2c4c6f9,[com.apple.<*>] [Refusing to parse response to PROPPATCH because of content-type: [text<*>html; charset=UTF-8].],5
f556572f21b4e834d0076324d13f5205,"NETWORK: requery, <*>, <*>, <*>, <*>, <*>, items, fQueryRetries, <*>, fLastRetryTimestamp, <*>",17
464477c45ea56981f801ef0ed3e469b5,Previous sleep cause: <*>,15
2068da72b82145e206b18a75f97d2f72,Wake reason: RTC (Alarm),5
017d6ac59d808d6e582a0c6d687ddf3b,AppleThunderboltNHIType<*>::prePCIWake - power up complete - took 2 us,4
efb73c8b2315ba1057a6c71708719fc4,network changed: v4(en0<*>) v6(en0:<*>) DNS! Proxy SMB,2
038257e512f4c84410ae9e6ff431b8e0,hibernate_page_list_setall found pageCount <*>,2
dc3856c18d9c593d70c55b4f6d386125,[HID] [ATC] [Error] AppleDeviceManagementHIDEventService::start Could not make a string from out connection notification key,2
c967316d9220ce8423653625fedad0ae,[IOBluetoothFamily][staticBluetoothTransportShowsUp] -- Received Bluetooth Controller register service notification -- <*>,1
286a7b5dcc06b4125733083d3bdb8fe1,"2017-<*>SoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp updateProductWithProductID:usingEngine:] Checking for updates for ""<*>"" using engine <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=""/Users/<*>SoftwareUpdate<*>TicketStore<*>ticketstore"" lockFile=<KSLockFile:<*> path=""/Users<*>SoftwareUpdate<*>TicketStore<*>ticketstore<*>"" locked=<*> > >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*>> isProcessing=NO actionsCompleted=<*> progress=<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( <*> > delegate=(<*>) serverInfoStore=<KSServerPrivateInfoStore:<*> path=""/Users/<*>Software<*>""> errors=<*> >",1
15e9719d3705c20f3a3f8baa6053723b,<*> | I | VoipWrapper | DAVEngineImpl<*> | close video chat. llFriendUIN = <*>.,4
f7acb627345964ede72d864da01d1b11,"ARPT: <*>: IOPMPowerSource Information: onSleep, SleepType: Normal Sleep, 'ExternalConnected': No, 'TimeRemaining': <*>,",6
c86dfdd94b56ae915883c66a3ce56ca1,Bluetooth -- LE is supported - Disable LE meta event,11
b060a18a1438123fdec89b4df65ebfc3,<*>:<*> : Discoverable mode changed to Off,1
2c9efcba0972e35004fb7b8fd9bc6baf,tcp_connection_handle_connect_conditions_bad <*> failed: <*> - No network route,18
d7911a0c08dee09131c6805b3be818a0,Captive: CNPluginHandler en0: Authenticated,7
4b25a4feb2733d947080fb4ce92044e3,ARPT: <*>: wl0: setup_keepalive: Local IP: <*>,4
fc2c3336870ba839063042986c4298ac,TBT W (<*>): <*> [<*>],4
1efe32ce028b45ddcc266b58d06be4cf,network changed: DNS* Proxy,3
eeee67d667f293a1187985079eacc46c,mDNS_RegisterInterface: Frequent transitions for interface awdl<*> (<*>:<*>:<*>:<*>:<*>),1
53cb11a5eb2791bc79f9a57b47699e09,AppleThunderboltNHIType<*>::prePCIWake - power up complete - took <*> us,10
96e5fbe3cae947b65ea4c5aebf96ea20,tcp_connection_tls_session_error_callback_imp <*> __tcp_connection_tls_session_callback_write_block_<*> error <*>,2
b5dd3697ac686bd7af8bbce77b40c5ba,ASL Sender Statistics,9
5bb01fbca33e088313b2782b3096210a,<*>-<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOutOfProcessFetcher(PrivateMethods) launchedHelperTaskForToolPath:error:] KSOutOfProcessFetcher launched '/<*>SoftwareUpdate<*>Software<*>f<*>' with process id: <*>,1
55a25b918781b9e48586ab7b16824bf8,"2017-<*>-<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSUpdateEngine updateAllExceptProduct:] KSUpdateEngine updating all installed products, except:'<*>'.",2
81fd5bc06bf1f4f0e756e805fa33655d,2017-<*> ksfetch[<*>] [lvl=<*>] main() ksfetch fetching URL (<NSMutableURLRequest: <*>> { URL: https://tools.<*>?cup2hreq=<*>&cup2key=<*> }) to folder:/<*>KSOutOfProcessFetcher<*>,1
c1054fe82abdd2b4a054c01e831385a7,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/<*>ari<*>Search<*>Search<*> error = <*>: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/<*>ari<*>Web<*>PC<*>",3
bce4f7be0e9bf1ab5aadc01d87ce4cce,[<*>:<*>:<*>] <<<< IQ-CA >>>> piqca_setUsePreQueue: (<*>) rejecting report of layer being serviced - IQ has not yet begun to update,4
7020428101248170bd94884f2cf83b6c,[<*>:<*>:<*>] itemasync_SetProperty signalled err=-<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*>aches<*> line <*>,4
c80980fc1be1b1d508bca2a612f9711f,KeychainGetICDPStatus: keychain: <*>,14
8f20442757e1b437d94fd34bb2cb1b96,"Path not allowed in target domain: type = pid, path = /System/Library/StagedFrameworks/<*>ari<*>WebFeed<*>WebFeed<*> error = <*>: The specified service did not ship in the requestor's bundle, origin = /System/Library/StagedFrameworks/Safari<*>WebKit<*>",1
8c249d2088e9f92e5eff853336635540,host connection <NSXPCConnection: <*>> connection from pid <*> invalidated,1
debd10bcf8b530f64b947cf32ad80298,Error in CoreDragRemoveReceiveHandler: <*>,1
d181d4fdba46543126c2202f6b413852,ARPT: <*>: wl0: leaveModulePoweredForOffloads: Wi-Fi will stay on.,9
9cd1dd7b235c0b6ee1ef77bc47d09925,"ARPT: <*>: IOPMPowerSource Information: onWake, SleepType: Normal Sleep, 'ExternalConnected': Yes, 'TimeRemaining': <*>,",3
5657cd9b0017df67abf51a4a4abaf7cf,Captive: CNPluginHandler en0: Inactive,4
df7d7c2a44bcb6f5a93487318b64f4f6,in6_unlink_ifa: IPv6 address <*> has no prefix,9
b595034d4d3a0efcb74978612a566fc1,network changed: v4(en0:<*>) v6(en0<*>:<*>) DNS! Proxy SMB,2
93334197b82a641e1dcd924007076a36,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-<*> ""The request timed out."" UserInfo={NSUnderlyingError=<*> {Error Domain=k<*>Error<*> Code=-<*> ""The request timed out."" UserInfo={NSErrorFailingURLStringKey=https://gsp-<*>.<*>.<*>.<*>pat<*>, NSErrorFailingURLKey=https://gsp-<*>.<*>.<*>dispatcher<*>, _kCFStreamErrorCodeKey=-<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The request timed out.}}, NSErrorFailingURLStringKey=https://gsp-<*>.<*>.<*>.<*>pat<*>, NSErrorFailingURLKey=https://gsp-<*>.<*>dispatcher<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=-<*>, NSLocalizedDescription=The request timed out.}",1
dd381761a08f59a30bd275d40b2b2096,"device_generate_lock_screen_screenshot: authw <*>(<*>)[<*>, <*>, <*>, <*>] shield <*>(<*>), <*> [<*>,<*>]",3
9e152a986b516089609ebf3b0f517f26,2017-<*>-<*> ksfetch[<*>] [lvl=<*>] KSHelperReceiveAllData() KSHelperTool read <*> bytes from stdin.,3
61fbb99689a625d113f3f2bfdb523b9a,[<*>:<*>:<*>] FigAgglomeratorSetObjectForKey signalled err=-<*> (kFigStringConformerError_ParamErr) (NULL key) at <*>LegibleOutput<*>FigAgglomerator<*> line <*>,6
2977e976aa7d99896fe90e40ff307cf6,<*>:<*>:<*> : BTLE scanner Powered Off,4
7818909b9523355aec413b7805b28e3b,"PBRequester failed with Error Error Domain=NSURLErrorDomain Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSUnderlyingError=<*> {Error Domain=kCFError<*> Code=-<*> ""The Internet connection appears to be offline."" UserInfo={NSErrorFailingURLStringKey=https://gsp-<*>.<*>dispat<*>, NSErrorFailingURLKey=https://gsp-<*>.<*>.<*>dispatcher<*>, _kCFStreamErrorCodeKey=<*>, _kCFStreamErrorDomainKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}}, NSErrorFailingURLStringKey=https://gsp-<*>.<*>.<*>dispat<*>, NSErrorFailingURLKey=https://gsp-<*>.<*>dispatcher<*>, _kCFStreamErrorDomainKey=<*>, _kCFStreamErrorCodeKey=<*>, NSLocalizedDescription=The Internet connection appears to be offline.}",2
8f6e78f384fe7303b610b504f75f94f4,ARPT: <*>: AQM agg params <*> maxlen hi/lo <*> minlen <*> adjlen <*>,7
3f143fab095d507e240c8b8536a9eda9,Received Capture Event,15
c4160a5e4dcba31cc2f28520fae4f3fd,Sandbox: QQ(<*>) deny(<*>) mach-lookup com.<*>,3
ecfbe11a4a8ee178d0fd215a71b45719,[<*>:<*>:<*>] <<<< Boss >>>> figPlaybackBossPrerollCompleted: unexpected preroll-complete notification,23
94349d5a3ef6f6fb69c5d963d59f42d6,sigio_handler: sigio_handler_active != <*>,5
42e9195d6c94cbe5da88a32a966b1624,############################## _getSysMsgList,10
752bc9262a3b691a39f1ee698013c7b7,"Configuration Notice: ASL Module ""<*>.apple<*>"" claims selected messages. Those messages may not appear in standard system log files or in the ASL database.",1
53faf4a2014cd57cd98bd36024a701d6,Wake reason: <*>,2
ec97a9c1b2ba622fa90f8f4685768c42,<*>:<*>:<*> : Scanning mode Contacts Only,6
1e78fa61c649164020b59ac8ab6ecc8e,<*> : BTLE scanning stopped,2
ada9be5f0ab649bb8475a99b2caa9abd,wake time set <*>,1
e7cbc9dce3dc6d903197b599d1484b21,[HID] [MT] MTActuatorManagement::getActuatorRef Calling MTActuatorOpen() outside of MTTrack<*>HIDManager.,1
67784cf7daceeaef204154b15bae9996,mDNS_DeregisterInterface: Frequent transitions for interface en<*> (<*>),2
4d8384cd1b1ed2f4c4bbfa77e3abcf00,wake time set -<*>,2
5d3b8c8e02bee2704c61ee560e5b7d6d,AppleCamIn::handleWakeEvent_gated,15
e8d2aef30fc235e63030c72a2075f191,<*>:<*> : Purged contact hashes,1
9ef91803a02f628d765d0bed4af25ca4,<*>:<*> : BTLE scanning started,2
f9fde445168e718212e8816b14910907,"IOPMrootDomain: idle cancel, state <*>",3
4279d8f0348f592fcf5ec22f77a9af45,<*> : Discoverable mode changed to Off,1
5d1a0c7f7141d1b1fd2c2953d9b5c452,ARPT: <*>: ARPT: Wake Reason: Wake on TCP Timeout,2
a08312204aaf51b75c53ece33284898b,"hibernate_alloc_pages act <*>, inact <*>, anon <*>, throt <*>, spec <*>, wire <*>, wireinit <*>",2
0eaab80217332e643d6713b0bf24527e,hibernate_teardown_pmap_structs done: last_valid_compact_ind<*>,2
f85e73231fa6cc54a2213fdf111cd77c,"PM response took <*> ms (<*>, <*>)",2
f93af1df487a9d6b1e617d60f4444f3f,enabling pid=<*> for plug-in com.<*>.<*>(<*>) <*>PlugIns<*>.<*>,1
8a78d27cbfbda94ae92614e0d2e65f3c,"<*>-<*>SoftwareUpdateAgent[<*>] [lvl=<*>] -[KSAgentApp performSelfUpdateWithEngine:] Checking for self update with Engine: <KSUpdateEngine:<*> ticketStore=<KSPersistentTicketStore:<*> store=<KSKeyedPersistentStore:<*> path=""/Users/<*>SoftwareUpdate<*>TicketStore<*>ticket<*>"" lockFile=<KSLockFile:<*> path=""/Users<*>SoftwareUpdate<*>TicketStore<*>ticketstore<*>"" locked=<*> > >> processor=<KSActionProcessor:<*> delegate=<KSUpdateEngine:<*>> isProcessing=NO actionsCompleted=<*> progress=<*> errors=<*> currentActionErrors=<*> events=<*> currentActionEvents=<*> actionQueue=( <*> > delegate=(<*>) serverInfoStore=<KSServerPrivateInfoStore:<*> path=""/Users<*>Software<*>""> errors=<*> >",1
c79b5aeca58b8d97c206934f131193bc,2017-<*>-<*> GoogleSoftwareUpdateAgent[<*>] [lvl=<*>] -[KSOmahaServer updateInfosForUpdateResponse:updateRequest:infoStore:upToDateTickets:updatedTickets:events:errors:] Response passed CUP validation.,1
fdf3be818a6587be2fd330b8d51cef9c,[<*>:<*>:<*>] itemasync_CopyProperty signalled err=-<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*>aches<*> line <*>,1
97bf4321d9ca6681e008e33bed373cad,[<*>:<*>:<*>] itemasync_CopyProperty signalled err=-<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*>aches<*>,3
2570f3c4140829ac5de9538a25b6ffbf,[<*>:<*>:<*>] itemasync_SetProperty signalled err=-<*> (kFigBaseObjectError_Invalidated) (invalidated) at <*>aches<*>,1
620ec33ac852b28ebd8eae2ea8ce6ee0,"Opened file <*>Wake<*>, size <*>, extents <*>, max<*>",2
970d0ff91c165c497e1718e00ab78d1b,"NETWORK: no response from server, reachability, <*>, queryRetries, <*>",4
db9ca4ea818b78dbb6b14562caffd84f,"Unexpected payload found for message <*>, dataLen <*>",2
4a019d2026c52bfd1237acad8f14320f,CCFile::captureLog,17
6728e0d721ce0dd2b5d52a0751ce51eb,en0: Supported channels <*>,4
54c9533f8dbe20890daf7cc2fa4dd953,ARPT: <*>: <*>::powerChange: System Wake - Full Wake/ Dark Wake / Maintenance wake,12
49a3bab28b9f53b47b73b6ae6128d81d,Internal name did not resolve to internal address!,1
58baf72bce41e3ee87d6db7a8a1f2848,Service exited with abnormal code: <*>,1
e8fc3aabe0dc0c7093399e6598923858,Central manager is not powered on,1
1ab3c655170524ba271e68613c592ce5,"CCFile::captureLogRun Skipping current file Dir file [<*>-<*>-<*>,<*>,<*>]-CCIOReporter<*>, Current File [<*>-<*>-<*>,<*>,<*>]-CCIOReporter-<*>",6
475e511bed9b80c74bd5f5959039ad85,"CCFile::copyFile fileName is [<*>-<*>-<*>,<*>,<*>]-<*>, source path:/<*>Capture<*>.<*>PeerManager<*>[<*>-<*>-<*>,<*>,<*>]-<*>, dest path:/<*>Reporter<*>CoreCapture<*>.<*>[<*>-<*>-<*>,<*>,<*>]=AssocFail:sts:<*>n:<*>PeerManager//[<*>-<*>-<*>,<*>,<*>]-<*>",1
0a757832c8f1278e3290f194528d60b8,ARPT: <*>: framerdy <*> bm<*> framec<*>,5
3ba966b192b09084e999fe905612a681,<IM<*>NotificationCenterManager: <*>>: DND Enabled: YES,1
9955f879e74b832c46989a5532e28297,<*>:<*> : Starting AirDrop server for user <*> on wake,1
4cfc2469ee3ac1d06572ab4bb53b9643,ARPT: <*>: wl0: setup_keepalive: Remote IP: <*>,8
92a0f806f783bfa3a8d0e3e48a8cd519,"<<<< FigByteStream >>>> FigByteStreamStatsLog<*>Read: ByteStream read of <*> bytes @ <*> took <*> secs. to complete, 5 reads <*> sec.",1
d107197d9eeb992823020071bede6bdd,network changed: v4(en0:<*>) v6(en0<*>) DNS Proxy SMB,1
ea92f2316cc28232785444e076f1c2ff,CCIOReporterFormatter::refreshSubscriptionsFromStreamRegistry clearing out any previous subscriptions,9
