,EventTemplate,Count
ed579c32bb29acfe92916b311f246ec2,PCI Root Bridge [<*>] (<*>),1
eb02d8a90d1e92870dab550729d75410,"PCI interrupt <*> -> GSI <*> (level, low) -> IRQ <*>",11
d276458b8fab665424d86f86871e11fb,Power Button (<*>) [<*>],1
4a40166859a0cd89af6943ad2e754e0e,Processor [<*>] (supports C<*>),2
5005632dc8cce5d445414e99c779ba21,Processor [<*>] (supports C1),2
f4e68d949403721f744074a51dbdb3dc,RSDP (<*> DELL ) @ <*>,1
36b058783a9216f95860b5d27df726dd,RSDT (<*> DELL PE <*>) @ <*>,1
b3c9fd362c50eb1fb5110ec71c6ca775,SPCR (<*> DELL PE <*>) @ <*>,1
54e256e6f33fc776bb8477031fa196b3,Subsystem revision <*>,1
5925103da0a907f5ccdc1edf8a708003,Using IOAPIC for interrupt routing,1
e15e737528b2ba05261d9f70b188debb,Intel(<*>) <*>) CPU <*>,1
e183371b147d933970ce4165db51ecad,L2 cache: <*>,5
ee83b678080d09a935ff27cee7e523ed,Physical Processor ID: <*>,5
f1f93e69508cb9458f0c21eef19be2bf,"Trace cache: <*> uops, L1 D cache: <*>",5
94ddf0cc85f1b9f42faa283f6fa9bb90,colour VGA<*>,1
a01623539419760632e8d6bd619c6289,mounted filesystem with ordered data mode.,3
febc9c372335163a4deacac0adb4ecce,"<*>_<*>.c,<*> $",1
39d024d434c2f7be887273ef5dfcf691,"apic_id <*>, version <*>, address <*>, GSI <*>",3
ffd43e907f8e38974df7ed141e20661a,"routing cache hash table of <*>, <*>",1
fdb217ddd3f733793b0f5c132585770e,PCI Hot Plug PCI Core version: <*>,1
dcc1e32c1ff0c8ab2c58c6cba97898c0,<*>=LABEL<*>rd<*> console=<*> console=<*>boot BOOT_IMAGE=/<*>,1
c47c3599a45f95b3bdc2d19fe2b948b4,Registered protocol family <*>,5
8bbc159fb0feb74a312cc412438f5309,Using software bounce buffering for IO (<*>),1
c9eb3a709f3b0d663a94f690c6ef2508,Probing PCI hardware (bus <*>),1
967c953402fc5170f3c7e1ea482ce514,Transparent bridge - <*>,1
a18fe907044f15d00e85d8caedcab8bc,Using ACPI for IRQ routing,1
49054f898ca4040c5331229e2134fc9e,Using MMCONFIG at <*>,1
415e7cee8a7ade0d3c5bd2a7e7423aac,Using configuration type <*>,1
4211e0af641b540a39aa91efe8945327,Compressed image found at block <*>,1
b79ffc59c62af79f059f81b69b6153f8,Disabled at runtime.,1
7f533fb9dbfdeb372755bcde781e4a8e,Initializing.,1
4e48601fe273f3661510104d16304c9d,Registering netfilter hooks,1
25ea518defb1bdf2d52600c82f74c19f,Starting in permissive mode,1
e3539859a58e1adeb71b73135759f41d,Unregistering netfilter hooks,1
626fc9373ab3fc5ae2d62b8847fceb92,Hash tables configured (established <*>),1
7409c064fd701f30a39227eb20cb6370,Direct-Access ANSI SCSI revision: <*>,1
c0eb874dfbb8b9cd31a656d8e4a61a80,Processor ANSI SCSI revision: <*>,1
85a0e24b1111c91ef107708b96f37d6e,Disk quotas dquot<*>,1
545ec0580bea209bea4b0e11afca25de,Mounted <*> (ext<*> filesystem).,1
3761f02f43d444413967e0440d8d95e9,MegaRAID Model: <*> Rev: <*>,1
3ff7adb7a9762494ecbe718a5243159e,PE/PV Model: <*> SCSI BP Rev: <*>,1
84d10a1ed612e61dbf6880f6e3ee533a,initialized,1
8bd4b5f89398058c907da4c160938e71,initializing netlink socket (disabled),1
f36e81034ce2b6b2806a4bc8801b5b2e,passed.,1
5806e2802605bfc9ebd132b2e59ac377,<*> (<*>) initialised: <*>,1
208ae527497cd6ad22f52946b6c02cc5,allocating divert_blk for eth0,1
f3a03ebf179ab2c4adc95e9d7f9bb496,allocating divert_blk for eth1,1
f6df922db282337f325fc9df80feed21,not allocating divert_blk for non-ethernet device lo,1
71f5af62ac2423914d2091bb1411d46e,v<*>:<*> HID core driver,1
867ce5aa2244febff3a6c732261561a8,eth0: <*>_probe: <*>(<*>) <*> Network Connection,1
8248483ff1407ec4480c6919bbc6caa6,eth0: <*>_watchdog: NIC Link is Up <*> Mbps Full Duplex,1
1fae85f483ba37ef008f974c05a72694,eth1: <*>_probe: <*>(<*>) <*> Network Connection,1
16483862fa7e195bab8dffac16f90b7e,no floppy controllers found,1
1d7c831284807d0b0479dd3e60746f46,RNG not detected,1
708630ccb286234aca4d5cf7cee0c06e,Wait for ready failed before probe !,6
0cff8befa236c9f6ed4f0a22b6814c49,Assuming <*>MHz system bus speed for PIO modes; override with idebus=<*>,1
3ba4aeddf431518606ae09baf0c4def4,Unknown cmd <*>d(<*>) cmd(<*> arg(<*>) on <*>,1
a56daf2ef6d06c51f855a43d327b9d2e,(C) 2000-2002 Netfilter core team,4
bfcd95ed69581f5400895041fc757cff,Installing public key data,1
cd2a6bd5c9067e132d3fd14e659ef352,... autorun DONE.,2
953a8d97392f83ed63273ef11e710caf,Autodetecting RAID arrays.,2
7ce70afa4de04ba217f9f7db2ae88515,autorun ...,2
c31fc03afd79b79e1eb468bf22bb8f62,"md driver <*> MAX_MD_<*>=<*>, MD_<*>_<*>=<*>",1
b2fed72bf0fe4b456b93440ef82ebbf4,#<*> (Release Date: Fri Dec <*>),1
a7806a77991a1ebf6fc81699db57b2a1,#<*> (Release Date: Mon Sep <*>),1
a94e6a15f0cade445cb68d7374d427bd,fw version:[<*>] bios version:[<*>],1
e8e9c04580a93183368ab876628dfcd4,probe new device <*>: bus <*>:<*>:<*>,1
a235167674a73e92807641e3f574c87c,PS/2 mouse device common for all mice,1
e1b78cbb7967141c90c918bd9a08ba06,v2<*>0 (<*>),1
72f0b5c0a1bb504caef8d6faf03780d0,r<*>d startup succeeded,1
7d73b4c5e9e430a3066ed86a24e2aea1,portmap startup succeeded,1
2d44d780c3e703cd25ae288c2dc6271e,Starting ts_fixup: succeeded,1
268e6e9a60647669e4960febf2f31733,Version <*> Starting,1
7f146802baf288a677faa38fc6515b37,LSI Logic MegaRAID driver,1
8ad1e8bbb68dbf04cb70ae3789cd0b52,scanning scsi channel <*> [<*>y <*>] for non-raid devices,1
19d28e107df0ec5707ac3dfc6ea883ae,scanning scsi channel <*> [virtual] for logical drives,1
6a60478811130244c75e3b5443020eb9,asking for cache data failed,1
4d12f6fa2af087a234ee73b85dec8e74,assuming drive cache: write through,1
b1d682066cd30613c698239142b6e970,sda<*>da<*>da<*>da<*>,1
30c0ff51eaccb3a3f51596c93493690a,Registering secondary module capability,1
1a101a6b0ecacb839d3b8ec7aea8a3ad,<*>X port at <*>,1
bcd4edd6966eb2139e972fb90fb4088e,<*>D port at <*>q <*>,1
4eb17d7bde920351361c28217c43f4d7,syslog<*> startup succeeded,1
c6145ce3194a6063dd3c39a51f99e66f,syslog-<*> version <*> starting,1
481e7ae7fbbe74593bd70dea2a4eb19a,Detected <*> MHz processor.,1
fea49fce5c429d456b9af17f63c500d1,Using <*> MHz HPET timer.,1
e8ca34b79a776d8ea0bb8becea89d0e7,Using HPET based timekeeping.,1
1a2ac521a5ebc884c57137ed760b0e5d,Creating Topspin /dev entries:,1
c1e7e610a5bc9662e26fbee2bd5738f2,registered new driver hiddev,1
0e2d423283c4b2f7a34303ee6a6dfdf8,registered new driver hub,1
a4430800aaf84bb64d784e82959c6646,registered new driver <*>,2
11dfe1a7b0f224e1f6bd786cc5bc8c56,probe of <*> failed with error -<*>,1
e2fef531cefa950524677bf2b65de833,"connection from <*>""",2
0c4141f66d84512eb3090e9e2d4d42ee,"User #<*>, coming from #<*>, authenticated.",2
b2f27e06ef84bdd149c87bb765cbd5a3,Now running on <*>s privileges.,2
42c646d788d71345c9717b88657395a7,Mounting NFS filesystems: succeeded,1
14e66fdfde6c3e1637f62ced738434aa,Mounting other filesystems: failed,1
a0d618894d5978982feaa0d21f728d6b,Warning: we failed to resolve data source name <*>,32
afeb675241974ec7636252b1f1992f26,Warning: we failed to resolve data source name <*>n<*>n<*>n<*>n<*>,1
a02d61830a6c522689a964b84a47861e,Warning: we failed to resolve data source name bn<*>n<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*>n<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*>n<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*>n<*>n<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*> bn<*>n<*>,1
d02611cb2bef9db652fbe1cce538b377,Warning: we failed to resolve trusted host name <*>,1
264d5edd8d7174e2a102eeab7661eb2e,gmetad startup succeeded,1
cafdce5628165d71e0ecdc44cfe024e0,not allocating divert_blk for non-ethernet device <*>,1
9b1751bd331d17d4f91c2c61c1d43560,succeeded,2
5464051d614dd623e56be07616c0d380,Server listening on :: port <*>.,1
9da1d473e954cbca9e309acf64d9cb05,error: Bind to port <*> on <*> failed: Address already in use.,1
c4c7d1fe146479b1a52ba000e6ea0d64,Cannot open file <*>sur<*> for writing (No such file or directory),1
6b91f0224b40ca967ba0fcededdf09db,Changing permissions on special file <*>sur<*>,1
4a661f246e436511113cdb79696a8247,x<*> startup succeeded,1
fca583f256cceafdb3620f3a5ac53cf9,Reading included configuration file: <*> [file<*>] [line=<*>],17
0188b48f0b4c1cd6ac013981d84d7f21,Started working: 1 available service,1
260dcbc41aba2c782ba09695dbadae8e,removing chargen,2
21dea3dd64a4f67867cd480828250864,removing daytime,2
a0183fd16473c7905248f326636977ff,removing echo,2
73265babc00314a51dab4563e16693de,removing eklogin,1
ce314661a913b54632bd3f5dde88ae7a,removing ftp,1
f8c3256bb7dabb92f5c53fec4d33b2e5,removing klogin,1
077005f0fc0dd175b1b0231c58bbd757,removing kshell,1
c27729e262986613f4bb624c74f42db8,removing ntalk,1
69f0f986260ab806ff2ce12f9c460223,removing printer,1
35a2dfee972e9c99136b6b1db50cbc6e,removing rsync,1
8857d862e615e0396ee7d305ab914527,removing telnet,1
9550986ea3c07629f995eef97be30040,removing time,2
a61570503a53d4dd654dc224f5f0b98a,x<*> Version <*> started with lib<*>g options compiled in.,1
908095b64f288a33ee94745315eec035,"Device: <*>, Temperature changed -<*> Celsius to <*> Celsius since last report",1
