,EventTemplate,Count
160fe3769fbca78b2ec67ececa5ea2ed,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>",558
c306ec2f0e618205f4e0aa1ff8df2c16,Failed to create backup log cab. [HRESULT = <*> - ERROR_INVALID_FUNCTION],2
9e13d1d33d2e6ffdd9682f5d603f13d6,Reboot mark refs incremented to: <*>,1
8599e10af9d5c6f69f1302dcb5c556c8,Scavenge: Starts,1
e928f29606f879463988d5c9de5ac7a9,<*>@<*>/<*>/<*>:<*>:<*> CSI Transaction @<*> initialized for deployment engine {<*>} with <*> and client id [<*>,1
1f1dbb91c7bd6c67deafa256b358f282,Scavenge: Begin CSI Store,1
b67615e7633d82dfac72420f0548575a,<*> Performing 1 operations; 1 are not lock/unlock and follow:,1
de8c16e789ae43f8d4962fd70f1ca6d0,"<*> Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
a682f7f5c5c12cf8ef540e02dc2b192c,<*> ICSIT<*>action::Commit calling I<*>PendingTransaction::Apply - <*>F<*> apply<*>,1
ba2e4f32004f829c09850703ad2907b5,"Scavenge: Completed, disposition: <*>",1
3a4f3626507ef1be88b26ae76a35b462,<*>@<*> CSI Transaction <*> destroyed,1
e9fec3223221df35396f8f37fcc453d6,Reboot mark refs: 0,1
ecc5604ddb032761f52999e11591beff,Idle processing thread terminated normally,1
1915371f62947393ce2ee14b76ef48f5,Ending the TrustedInstaller main loop.,1
0c5a20aeb4aacd0fa06de6b8f314209e,Starting TrustedInstaller finalization.,1
c5141d885dacd817405c63e94d55025a,Ending TrustedInstaller finalization.,1
05f90e58ba19cda9efa45cd1e9911798,Starting TrustedInstaller initialization.,1
e2859c26150018bdb7d046251ebb233e,"<*> I<*>InstallerAwareStore<*>ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, <*>Disposition = <*>",1
db0514fb0f33483cd9d4a1affe7332fa,"Loading offline registry hive: SOFTWARE, into registry key '<*>GLOBALROOT/<*>/<*>/SOFTWARE' from path '<*>GLOBALROOT<*>SOFTWARE'.",1
81b0f9c914959e751a826717b6e86812,"Loading offline registry hive: SYSTEM, into registry key '<*>GLOBALROOT/<*>/<*>/SYSTEM' from path '<*>GLOBALROOT<*>SYSTEM'.",1
b133cda2c0e8e4c9308c6c78a7adc924,"Loading offline registry hive: SECURITY, into registry key '<*>GLOBALROOT/<*>/<*>/SECURITY' from path '<*>GLOBALROOT<*>SECURITY'.",1
218f26f30625488bc242a8e51160eeb3,"Loading offline registry hive: SAM, into registry key '<*>GLOBALROOT/<*>/<*>/<*>' from path '<*>GLOBALROOT<*>'.",1
b286efb6a120e9048d3995ea62ccc909,"Loading offline registry hive: COMPONENTS, into registry key '<*>GLOBALROOT/<*>/<*>/COMPONENTS' from path '<*>GLOBALROOT<*>COMPONENTS'.",1
105866b517122f1a3e122aca43ae2396,"Loading offline registry hive: DEFAULT, into registry key '<*>GLOBALROOT/<*>/<*>/DEFAULT' from path '<*>GLOBALROOT<*>DEFAULT'.",1
dd1bdab1174f207a0547f68c60d39cfb,"Loading offline registry hive: <*>user.dat, into registry key '{<*>GLOBALROOT/<*>/<*>user.dat' from path '<*>GLOBALROOT<*>user.dat'.",1
dabd6c07470fa3863a7c7e8f40c563ac,"Loading offline registry hive: schema.dat, into registry key '<*>GLOBALROOT/<*>/<*>/schema.dat' from path '<*>GLOBALROOT<*>schema.dat'.",1
cd7130e6d6f56c9973bff542db1e2532,Offline image is: read-only,1
a0ab2bd7976981132607e56b48533ae4,"Disabling manifest caching, because the image is not writeable.",1
96fdccdb37f777de3260e82b56f65b80,<*> PopulateComponentFamiliesKey - Begin,1
5abee0111b6df9200b18231ecd16a49e,<*> PopulateComponentFamiliesKey - End,1
6b7a1fb2efc28719279de55bf46b4559,Session: <*> initialized by client SPP.,1
00d4165c5296942cd850b485d72db16f,Unloading offline registry hive: {<*>}GLOBALROOT/<*>/<*>/<*>/<*>/SOFTWARE,1
8e80d9e4a5876bdf58eeabf6b5153e0a,Unloading offline registry hive: {<*>}GLOBALROOT/<*>/<*>/<*>/<*>/<*>/SYSTEM,1
bf82dc82656e1d7b6cbbdbe0ef500478,Unloading offline registry hive: {<*>}GLOBALROOT/<*>/<*>/<*>/<*>/SECURITY,1
97e5305d287aecc50b070deca9165fbf,Unloading offline registry hive: {<*>}GLOBALROOT/<*>/<*>/<*>/<*>/<*>,1
a499dac47232be1083cd6555396f2e4e,Unloading offline registry hive: {<*>}GLOBALROOT/<*>/<*>/<*>/<*>/COMPONENTS,1
ce3672b2eff8e6771ff6afb4007c534a,Unloading offline registry hive: {<*>}GLOBALROOT/<*>/<*>/<*>/<*>/DEFAULT,1
fc92399fa3399e5e7d9f40a90abc01dd,Unloading offline registry hive: {<*>}GLOBALROOT/<*>/<*>/<*>/<*>/<*>.dat,1
97eee3ffad3f60c0a2fb0d4acbd6c4c9,Unloading offline registry hive: {<*>}GLOBALROOT/<*>/<*>/<*>/<*>/schema.dat,1
