,EventTemplate,Count
73ff8a42008ae7019884098336902e5d,Calibrating delay loop<*>,1
6a50d1ca1cb991dddf8b97b18952b3ee,Security Scaffold <*> initialized,1
158c34d8dd657761c18125bbbe6195ab,SELinux: Initializing.,1
d801f25fdb5ccc8a0ea865ccdf76dc88,SEL<*>ux: Starting in permissive mode,1
e0661b3cabaa2558cfd49f8b7f32e607,"There is already a security framework initialized, register_security failed.",1
a31006da5fb128531b476b3c0208b2a2,Failure registering capabilities with the kernel,1
41ffccb11772f617cf69eda96702c51e,selinux_register_security: Registering secondary module capability,1
48a493b0843377d8924fe9e9808b5224,Capability LSM initialized,1
d26ac0a0f99f82f641812d2835471301,rpc<*>idmapd startup succeeded,1
ec04e27e533dbf5ed9b0c1394e752b3a,Dentry cache hash table entries: <*> (order: <*> bytes),1
062c10da5d445097b70c98936c5290d9,Inode-cache hash table entries: <*> (order: <*>),1
a4ab81e49aa19bcab7d83c1831bb599b,"Mount-cache hash table entries: <*> (order: <*>, <*> bytes)",1
f7f4ac5d59fe0ccf37be03f2762b0b46,"CPU: L<*> I cache: <*>K, L1 D cache: <*>K",1
d678ffa6cc387893d3a7176e58bd0832,CPU: L2 cache: 256K,1
53650236761ec8daf4346f976fb24a15,Intel machine check architecture supported.,1
77e475c551bfe74fb0ba7d896a515c2b,Intel machine check reporting enabled on CPU<*>,1
e6a292dc1075515acab07e010f26c1d5,CPU: Intel Pentium <*>,1
1d8fe60af079315ac40046c0f7cbe1e1,Enabling fast FPU save and restore... done.,1
5de744eef07781c6f01c305810da1415,Enabling unmasked SIMD FPU exception support... done.,1
8e1024ffbda5f872338bb01a7a9d374f,Checking 'hlt' instruction... OK<*>,1
80734f262dea7d9f8d6af6ad0236bf20,Initializing random number generator: succeeded,1
60696e472c060aaa446f106c1edb24db,POSIX conformance testing by UNIFIX,1
ebaec35be40c89eef1e2b8612b058ea2,<*>: Registered protocol <*>,1
aed97b675ec92152266be8ab2bd8e720,"PCI: PCI BIOS revision <*> entry at <*>, last bus=<*>",1
0f556ff9d36b5446a5dbb935be704b55,PCI: Using configuration type <*>,1
e17c0a2503c9eec858c2a01ef2555b4c,mtrr: <*>,1
1ee2f7d856ac5eadc4b28c4ad88d23e9,ACPI: Subsystem revision <*>,1
cf3833579e586d681e09fbbf4ffcd6b1,ACPI: Interpreter disabled.,1
0d4b9cbdce01b72633a5c124af7232a2,Linux Plug and Play Support <*> (<*>) <*>,1
3f838d2892a4079d92fd04f8ff049d2d,Starting p<*>: succeeded,1
b311803e99b7d04fcfc2cb9797a6b0fa,usbcore: registered new driver usbfs,1
18dd943fed443c0c3b19f08bc039a5e1,usbcore: registered new driver hub,1
cafc1bbdb057ae0286b7befbf718917c,ACPI: ACPI tables contain no PCI IRQ routing entries,1
ea8a8d97b886f4d336718b1d3e1fcf37,PCI: Invalid ACPI-PCI IRQ routing table,1
1f72ed8d85e6f6e8769bc4870a25ce2f,PCI: Probing PCI hardware,1
af4344c8e8c4e8f89bcf3f6992d46c43,PCI: Probing PCI hardware (bus <*>),1
967c953402fc5170f3c7e1ea482ce514,Transparent bridge - <*>,1
75bdc44983ebc57cc96472e85ee778d8,PCI: Using IRQ router P<*> at <*>,1
c50becef423dad0c0ca8cfafe41d33b2,apm: BIOS version <*> (Driver version <*>),1
4b7e6959f37a3bc82ff398d50068b7f1,audit: initializing netlink socket (disabled),1
8d44ea739b45ac9947f82508f46684e1,kernel.core_uses_pid = <*>,1
9ce4b16f776828ea3ad97e94c91474a7,HCI daemon <*> started,1
dbae53927c31b05847cfe3edc636f6c7,hcid startup succeeded,1
cf41c1e62c25f08f426ffe73ee70addb,audit(<*>): initialized,1
a9d64ca20676d75b8b2aa6d3884e5a70,Setting network parameters: succeeded,1
f828af47754f90dde060c2a2ec6e9b16,s<*>d startup succeeded,1
7a337c50863207b4768f36f3947ed63c,s<*> started,1
d7edd129e2cd1e80720a61598cefbdae,"Total <*>TLB memory allocated, <*>",1
f3b4bfdabda3ae47910e350bd87cb4ab,Bringing up loopback interface: succeeded,1
013dffe1b0d2d3dd4036717b59f2acfe,VFS: Disk <*>,1
9aeac576c1eddfcd0f2224b549fb2b01,Dquot<*>cache hash table entries: 1024 (<*> 4096 bytes),1
444e12023db5bf62f91e6949331f1468,SEL<*>ux: Registering netfilter hooks,1
2b566107fbfd7e109e9a2a77b48677df,Initializing Cryptographic API,1
66c5c678eca5d4d169839e9507298408,pci_hotplug: PCI Hot Plug PCI Core version: <*>,1
f5a909e6dd0bedcf3b7b5fade3552a77,<*>ap<*>: Scanning for PnP cards...,1
5e8e65da5a1ff91668c65b2e38bbf0fe,<*>ap<*>: No Plug & Play device found,1
bb8d827669a79c7cdb683acd04b02b2b,Real Time Clock Driver <*>,1
0754fdcbf893d95c3b74f46f834e4b2d,Linux agpgart interface <*> (<*>) <*>,1
